epoch,accuracy,loss,val_accuracy,val_loss
0,0.708000004291534,0.572299599647522,0.670000016689301,0.572638154029846
1,0.731000006198883,0.529541015625,0.740000009536743,0.55690461397171
2,0.813000023365021,0.476742893457413,0.666666686534882,0.605621457099915
3,0.823000013828278,0.379757821559906,0.716666638851166,0.58259129524231
4,0.84799998998642,0.322739034891129,0.753333330154419,0.686489462852478
5,0.882000029087067,0.247624754905701,0.730000019073486,0.801084339618683
6,0.899999976158142,0.213733330368996,0.75,0.894614994525909
7,0.924000024795532,0.165203437209129,0.756666660308838,1.03097474575043
8,0.927999973297119,0.153798341751099,0.75,1.32760512828827
9,0.939999997615814,0.123110845685005,0.75,1.39679133892059
